Class,Blue,Green,Red,RedEdge,NIR,Thermal
0.0,0.03171865626874625,0.07670826921980965,0.024127457160868816,0.00565007219536694,0.0,0.958818205327127
0.0,0.058563287342531495,0.10229668889268821,0.0410338701358244,0.01770355954548308,0.0012760736196319017,0.957622187742436
0.0,0.05053989202159568,0.08992990254744401,0.04069001088887615,0.013120723209241007,0.0,0.9582040341349883
0.0,0.04499100179964007,0.08240724910241067,0.02819645824975643,0.008349551133153369,0.0,0.9573635893457461
0.0,0.0599130173965207,0.10309454607625235,0.05352742277494412,0.025488103459099756,0.0031901840490797546,0.9579777605378846
0.0,0.0660617876424715,0.106741893201117,0.05369935239841825,0.022537510201519242,0.0,0.9578484613395397
0.0,0.04701559688062387,0.08519974924488516,0.027967218751790934,0.008914558352690062,0.0,0.9573959141453323
0.0,0.050689862027594484,0.09049980053570411,0.03111926184881655,0.010421244271454579,0.0,0.9577191621411947
0.0,0.051139772045590885,0.09346327007465664,0.03513095306321279,0.013371837529035093,0.0018650306748466258,0.9574605637445048
0.0,0.07790941811637672,0.118025873368667,0.06768296177431371,0.03854604808839224,0.011337423312883435,0.9576545125420223
0.0,0.14974505098980204,0.23411409357724966,0.13209926070261907,0.14194236926360726,0.07023312883435583,0.9587212309283683
0.0,0.047915416916616674,0.10298056647860034,0.044128603358358644,0.009919015631866408,0.0,0.9588828549262994
0.0,0.054289142171565684,0.10104291331851599,0.04051808126540203,0.015443530667336305,0.0,0.9578161365399535
0.0,0.059613077384523094,0.10372143386333846,0.05026075992893576,0.021470274342394374,0.00196319018404908,0.9577838117403672
0.0,0.04694061187762447,0.08012765714937026,0.02687833113645481,0.011551258710527968,0.000736196319018405,0.9571373157486424
0.0,0.058488302339532096,0.09807944377956346,0.04252392687260015,0.02128193860254881,0.0006871165644171779,0.9575575381432635
0.0,0.23620275944811037,0.2858038411124409,0.2207003266662846,0.14665076275974637,0.10360736196319019,0.9578161365399535
0.0,0.0663617276544691,0.10127087251382003,0.053584732649435494,0.02523698913930567,0.001226993865030675,0.9583656581329196
0.0,0.0659118176364727,0.12161623069470565,0.06401512980686572,0.026178667838533492,0.008049079754601228,0.9576545125420223
0.0,0.05203959208158368,0.09021485154157406,0.03576136168261791,0.0096051227321238,0.0,0.9575252133436772
0.0,0.07783443311337733,0.11774092437453695,0.03874147515616941,0.03678824784983364,0.009570552147239264,0.9576868373416085
0.0,0.05293941211757648,0.09847837237134553,0.046478308212505016,0.01764078096553456,0.0,0.9576868373416085
0.0,0.06613677264547091,0.11352367926141221,0.05054730930139263,0.029882604055496264,0.0022085889570552146,0.9585272821308508
0.0,0.047840431913617275,0.09181056590870235,0.03599060118058341,0.011927930190219097,0.0,0.9593354021205068
0.0,0.034568086382723455,0.09084173932866017,0.03427130494584217,0.002887814677631992,0.0,0.958947504525472
0.0,0.0607378524295141,0.10719781159172508,0.055533268382142245,0.028187582396886183,0.0028466257668711657,0.9576545125420223
